4462;Gumigyár (Budapesti út);46.278779;20.096193;0
2738;Gumigyár, buszforduló;46.278641;20.095276;0
816;Gyálarét;46.205551;20.109632;0
2605;Gyár u. (Magyar u.);46.205844;20.188659;0
2606;Gyár u. (Szerb u.);46.206126;20.1948525;0
839;Gyümölcs u.;46.281215;20.16641;0
847;Hajnal u.;46.250273;20.1304405;0
848;Hajós u.;46.2598095;20.1650765;0
857;Háló utca;46.25712;20.162255;0
859;Hargitai u.;46.2362695;20.185275;0
865;Hatházak;46.238017;20.152326;0
874;Hétvezér utca;46.2592395;20.144268;0
4505;Hódmezővásárhely vasútállomás;46.413242;20.338701;0
4506;Hódmezővásárhelyi Népkert vasútállomás;46.403733;20.312986;0
989;Holt-Tisza;46.226549;20.112865;0
991;Honfoglalás u.;46.260474;20.204763;0
2844;Honvéd tér;46.248651;20.144536;0
992;Honvéd tér;46.24923;20.144848;0
993;Honvéd tér (Tisza Lajos krt.);46.248876;20.144996;0
4507;Hősök tere;46.412183;20.31759;0
1000;Huszár utca;46.25643;20.134655;0
1001;Huszka Jenő utca;46.265869;20.0689395;0
2846;II. Kórház;46.2534805;20.1256845;0
1008;II. Kórház;46.253555;20.12592;1
2610;Ikarusz köz;46.260623;20.1076675;0
1018;Ipoly sor;46.27564;20.1457145;0
1022;Iskola u.;46.216553;20.1921175;0
1051;Jerney János Ált. Isk.;46.269495;20.071615;0
2611;József Attila sgt. (Budapesti krt.);46.2723865;20.1604565;0
2612;József Attila sgt. (Retek utca);46.266806;20.158801;0
1066;Kalász u.;46.275243;20.172248;0
1070;Kálvária sgt.;46.251855;20.138645;0
2658;Kálvária sgt. (Vásárhelyi Pál u.);46.254318;20.123972;0
2847;Kálvária tér;46.253153;20.130211;0
1072;Kálvária tér;46.25331;20.129805;1
4508;Kálvin János tér;46.416677;20.328532;0
1074;Kamarási u.;46.230984;20.118017;0
1075;Kamaratöltés;46.2307125;20.1753315;0
1093;Katalin utca;46.232189;20.190346;0
1095;Kavics u.;46.228703;20.1801225;0
1111;Kecskeméti utca;46.264305;20.15749;1
1112;Kecskés;46.239705;20.118315;1
2641;Kecskés telep, Bódi Vera u.;46.2359605;20.106386;0
2642;Kecskés telep, Gera Sándor u.;46.238007;20.112551;0
1126;Kenyérgyári út;46.255409;20.123989;0
3313;Kenyérgyári út 5.;46.256014;20.121974;0
1132;Kereskedelmi rakt.;46.2615455;20.1105775;0
2502;Kereskedő köz;46.26159;20.1083345;0
1133;Kereskedő köz (EXPO);46.260571;20.11439;0
1156;Kísérleti gazdaság;46.290457;20.085477;0
1158;Kiskertek;46.21958;20.11116;0
1162;Kiskundorozsma, ABC;46.274382;20.0642565;0
1163;Kiskundorozsma, Czékus u.;46.282768;20.071836;0
1164;Kiskundorozsma, Fürdő;46.273789;20.023927;0
1166;Kiskundorozsma, vá.bej.;46.2703535;20.089701;0
1167;Kiskundorozsma, Vásártér;46.282122;20.063549;0
1211;Kisstadion;46.244541;20.165169;0
1235;Kisteleki u.;46.2659765;20.1318945;0
1245;Klára utca;46.2339315;20.1861355;0
1247;Klinikák;46.24584;20.14747;0
1249;Kokárda u.;46.283935;20.165485;0
2616;Kollégiumi út;46.2689875;20.0965885;0
1250;Kolozsvári tér;46.246465;20.131673;0
2617;Koppány köz;46.216381;20.075309;0
2618;Kossuth Lajos Ált. Isk.;46.2173345;20.197249;0
4509;Kossuth tér;46.41465;20.319727;0
1257;Koszorú u.;46.20608;20.106645;0
2503;Körtöltés utca;46.26969;20.13483;0
